[2026-01-13 15:13:37] INFO: System snapshot taken. CPU: 96.0%, Mem: 18.6%
[2026-01-13 15:13:39] INFO: System snapshot taken. CPU: 96.0%, Mem: 18.6%
[2026-01-13 15:13:41] INFO: System snapshot taken. CPU: 97.0%, Mem: 18.6%
[2026-01-13 15:13:43] INFO: System snapshot taken. CPU: 100.0%, Mem: 18.6%
[2026-01-13 15:13:46] INFO: System snapshot taken. CPU: 100.0%, Mem: 18.6%
[2026-01-13 15:13:48] INFO: System snapshot taken. CPU: 100.0%, Mem: 18.6%
[2026-01-13 15:13:50] INFO: System snapshot taken. CPU: 100.0%, Mem: 18.6%
[2026-01-13 15:13:52] INFO: System snapshot taken. CPU: 96.0%, Mem: 18.6%
[2026-01-13 15:13:54] INFO: System snapshot taken. CPU: 98.0%, Mem: 18.6%
[2026-01-13 15:13:57] INFO: System snapshot taken. CPU: 100.0%, Mem: 18.6%
[2026-01-13 15:13:59] INFO: System snapshot taken. CPU: 100.0%, Mem: 18.6%
[2026-01-13 15:14:01] INFO: System snapshot taken. CPU: 97.0%, Mem: 18.6%
[2026-01-13 15:14:03] INFO: System snapshot taken. CPU: 97.0%, Mem: 18.6%
[2026-01-13 15:14:05] INFO: System snapshot taken. CPU: 97.0%, Mem: 18.6%
[2026-01-13 15:14:07] INFO: System snapshot taken. CPU: 97.0%, Mem: 18.6%
[2026-01-13 15:14:10] INFO: System snapshot taken. CPU: 91.0%, Mem: 18.6%
[2026-01-13 15:14:12] INFO: System snapshot taken. CPU: 100.0%, Mem: 18.6%
[2026-01-13 15:14:14] INFO: System snapshot taken. CPU: 100.0%, Mem: 18.6%
[2026-01-13 15:14:16] INFO: System snapshot taken. CPU: 99.0%, Mem: 18.6%
[2026-01-13 15:14:18] INFO: System snapshot taken. CPU: 98.0%, Mem: 18.6%
[2026-01-13 15:14:20] INFO: System snapshot taken. CPU: 97.0%, Mem: 18.6%
[2026-01-13 15:14:23] INFO: System snapshot taken. CPU: 91.0%, Mem: 18.6%
[2026-01-13 15:14:25] INFO: System snapshot taken. CPU: 97.0%, Mem: 18.6%
[2026-01-13 15:14:27] INFO: System snapshot taken. CPU: 97.0%, Mem: 18.6%
[2026-01-13 15:14:29] INFO: System snapshot taken. CPU: 91.0%, Mem: 18.6%
[2026-01-13 15:14:31] INFO: System snapshot taken. CPU: 97.0%, Mem: 18.6%
